iter	Passed	Remaining
0	152	152766
1	154	77257
2	156	52148
3	159	39612
4	161	32147
5	163	27111
6	166	23687
7	169	21021
8	172	18951
9	174	17318
10	178	16011
11	180	14879
12	183	13900
13	185	13054
14	187	12337
15	191	11749
16	193	11172
17	195	10678
18	197	10210
19	200	9802
20	202	9438
21	204	9081
22	206	8781
23	208	8484
24	210	8213
25	212	7978
26	215	7764
27	217	7565
28	220	7379
29	222	7200
30	225	7039
31	227	6869
32	229	6722
33	232	6598
34	234	6463
35	236	6343
36	239	6234
37	242	6140
38	245	6041
39	247	5930
40	249	5843
41	251	5734
42	253	5633
43	256	5563
44	257	5474
45	260	5404
46	263	5334
47	265	5256
48	267	5198
49	269	5125
50	272	5069
51	275	5019
52	278	4967
53	280	4910
54	282	4852
55	284	4804
56	287	4748
57	289	4697
58	291	4650
59	293	4603
60	295	4553
61	299	4526
62	301	4488
63	304	4450
64	306	4415
65	309	4377
66	311	4340
67	313	4301
68	315	4263
69	318	4230
70	320	4198
71	322	4161
72	325	4129
73	327	4095
74	329	4061
75	331	4028
76	333	3993
77	335	3961
78	337	3929
79	338	3897
80	340	3868
81	343	3841
82	344	3801
83	345	3770
84	347	3742
85	349	3719
86	353	3704
87	355	3685
88	358	3666
89	360	3649
90	363	3632
91	366	3613
92	368	3596
93	370	3573
94	373	3553
95	375	3537
96	377	3514
97	380	3498
98	382	3483
99	385	3465
100	387	3450
101	390	3435
102	393	3424
103	395	3411
104	398	3393
105	400	3376
106	402	3355
107	404	3338
108	406	3324
109	409	3314
110	412	3305
111	415	3290
112	417	3279
113	420	3266
114	422	3252
115	425	3240
116	427	3222
117	429	3208
118	431	3195
119	434	3184
120	436	3172
121	439	3160
122	441	3146
123	443	3131
124	445	3116
125	447	3102
126	448	3084
127	451	3075
128	453	3065
129	456	3056
130	459	3045
131	461	3031
132	463	3021
133	465	3009
134	467	2998
135	470	2989
136	472	2976
137	474	2966
138	477	2956
139	479	2944
140	481	2935
141	483	2922
142	485	2912
143	488	2902
144	490	2892
145	492	2879
146	494	2870
147	496	2859
148	498	2846
149	500	2838
150	503	2830
151	505	2820
152	508	2813
153	510	2802
154	512	2791
155	515	2788
156	517	2778
157	519	2769
158	522	2763
159	524	2754
160	526	2743
161	528	2735
162	530	2723
163	532	2715
164	534	2705
165	536	2696
166	539	2689
167	541	2680
168	543	2671
169	545	2664
170	547	2654
171	549	2645
172	551	2637
173	553	2628
174	555	2618
175	557	2611
176	559	2602
177	561	2593
178	564	2589
179	566	2580
180	568	2572
181	570	2566
182	573	2558
183	575	2550
184	577	2544
185	580	2539
186	582	2533
187	584	2525
188	586	2517
189	589	2515
190	592	2510
191	596	2508
192	599	2505
193	602	2503
194	605	2500
195	609	2499
196	611	2493
197	614	2487
198	616	2482
199	619	2477
200	622	2473
201	624	2467
202	627	2464
203	630	2460
204	634	2459
205	636	2455
206	640	2452
207	642	2447
208	645	2443
209	648	2440
210	651	2437
211	653	2430
212	656	2424
213	659	2422
214	662	2417
215	665	2415
216	669	2415
217	673	2414
218	675	2407
219	678	2405
220	681	2403
221	684	2399
222	687	2395
223	690	2393
224	693	2389
225	697	2387
226	699	2383
227	702	2377
228	705	2375
229	707	2370
230	711	2367
231	714	2364
232	717	2362
233	721	2362
234	724	2359
235	728	2356
236	731	2355
237	734	2351
238	737	2347
239	739	2342
240	742	2339
241	745	2334
242	748	2331
243	750	2326
244	753	2323
245	757	2320
246	760	2318
247	763	2314
248	766	2310
249	768	2306
250	771	2302
251	775	2300
252	777	2296
253	781	2294
254	783	2288
255	785	2283
256	788	2278
257	790	2273
258	792	2268
259	794	2262
260	797	2257
261	799	2252
262	802	2248
263	804	2242
264	807	2239
265	810	2235
266	812	2231
267	815	2227
268	818	2224
269	821	2221
270	825	2219
271	828	2216
272	830	2212
273	835	2214
274	838	2210
275	841	2206
276	844	2203
277	847	2201
278	850	2199
279	854	2197
280	857	2194
281	860	2191
282	863	2188
283	866	2184
284	869	2180
285	872	2177
286	874	2171
287	878	2171
288	881	2168
289	884	2164
290	888	2164
291	892	2163
292	896	2162
293	900	2161
294	903	2160
295	908	2159
296	911	2157
297	915	2157
298	920	2157
299	923	2155
300	927	2153
301	930	2150
302	935	2150
303	938	2148
304	942	2147
305	946	2147
306	950	2145
307	954	2143
308	957	2140
309	960	2137
310	964	2136
311	967	2133
312	970	2130
313	973	2127
314	979	2129
315	982	2126
316	984	2121
317	987	2117
318	990	2114
319	993	2110
320	995	2106
321	998	2102
322	1000	2097
323	1003	2093
324	1006	2089
325	1007	2083
326	1010	2080
327	1012	2075
328	1015	2071
329	1018	2067
330	1020	2063
331	1023	2059
332	1026	2055
333	1028	2051
334	1031	2047
335	1034	2044
336	1037	2041
337	1039	2036
338	1041	2030
339	1043	2025
340	1045	2020
341	1047	2015
342	1049	2009
343	1051	2004
344	1053	1999
345	1055	1994
346	1056	1988
347	1058	1983
348	1060	1979
349	1063	1974
350	1065	1969
351	1067	1964
352	1068	1959
353	1070	1953
354	1072	1949
355	1074	1944
356	1076	1939
357	1079	1935
358	1080	1930
359	1082	1924
360	1084	1920
361	1086	1915
362	1088	1910
363	1090	1905
364	1092	1900
365	1094	1895
366	1096	1891
367	1100	1889
368	1102	1885
369	1105	1882
370	1108	1878
371	1110	1874
372	1113	1871
373	1116	1868
374	1119	1865
375	1121	1860
376	1123	1857
377	1126	1853
378	1128	1849
379	1131	1846
380	1134	1842
381	1136	1838
382	1138	1834
383	1140	1829
384	1144	1828
385	1148	1826
386	1151	1823
387	1154	1820
388	1157	1817
389	1159	1813
390	1162	1810
391	1165	1807
392	1167	1803
393	1170	1799
394	1173	1796
395	1175	1793
396	1178	1789
397	1181	1786
398	1184	1783
399	1186	1780
400	1189	1776
401	1191	1773
402	1194	1770
403	1196	1765
404	1199	1762
405	1202	1759
406	1204	1755
407	1207	1752
408	1209	1748
409	1214	1747
410	1216	1744
411	1220	1742
412	1223	1738
413	1226	1735
414	1228	1732
415	1231	1729
416	1234	1725
417	1236	1722
418	1239	1718
419	1243	1716
420	1245	1713
421	1248	1709
422	1250	1706
423	1253	1702
424	1256	1699
425	1258	1695
426	1260	1691
427	1262	1687
428	1265	1684
429	1268	1680
430	1270	1677
431	1272	1673
432	1275	1669
433	1277	1666
434	1279	1662
435	1282	1659
436	1284	1654
437	1288	1652
438	1290	1649
439	1292	1645
440	1295	1641
441	1297	1638
442	1300	1635
443	1303	1631
444	1305	1627
445	1307	1624
446	1310	1620
447	1313	1617
448	1315	1614
449	1318	1610
450	1320	1607
451	1322	1603
452	1324	1599
453	1327	1596
454	1330	1594
455	1333	1591
456	1335	1587
457	1338	1584
458	1341	1581
459	1343	1577
460	1346	1574
461	1349	1571
462	1351	1567
463	1354	1564
464	1357	1562
465	1360	1559
466	1363	1556
467	1366	1553
468	1369	1550
469	1371	1546
470	1374	1543
471	1377	1541
472	1382	1540
473	1385	1537
474	1388	1535
475	1391	1531
476	1394	1528
477	1397	1525
478	1400	1523
479	1402	1519
480	1405	1516
481	1408	1513
482	1411	1510
483	1414	1508
484	1417	1505
485	1420	1502
486	1422	1498
487	1426	1496
488	1428	1492
489	1431	1490
490	1434	1487
491	1438	1485
492	1441	1482
493	1444	1479
494	1447	1476
495	1449	1472
496	1452	1470
497	1455	1467
498	1458	1464
499	1461	1461
500	1465	1459
501	1468	1456
502	1471	1453
503	1474	1450
504	1477	1448
505	1479	1444
506	1482	1441
507	1485	1438
508	1488	1436
509	1491	1433
510	1495	1431
511	1498	1428
512	1501	1425
513	1504	1422
514	1507	1420
515	1510	1417
516	1513	1414
517	1516	1411
518	1519	1407
519	1522	1405
520	1526	1403
521	1530	1401
522	1534	1399
523	1537	1396
524	1540	1393
525	1543	1390
526	1546	1388
527	1548	1384
528	1551	1381
529	1553	1378
530	1556	1374
531	1559	1371
532	1562	1368
533	1567	1367
534	1571	1365
535	1573	1362
536	1577	1359
537	1579	1356
538	1583	1353
539	1586	1351
540	1588	1348
541	1592	1345
542	1595	1342
543	1598	1339
544	1600	1336
545	1604	1333
546	1606	1330
547	1609	1327
548	1612	1325
549	1615	1322
550	1618	1319
551	1621	1315
552	1624	1312
553	1627	1309
554	1630	1307
555	1633	1304
556	1636	1301
557	1639	1298
558	1642	1295
559	1645	1292
560	1648	1289
561	1651	1286
562	1653	1283
563	1656	1280
564	1659	1277
565	1661	1274
566	1665	1271
567	1668	1268
568	1670	1265
569	1674	1263
570	1677	1260
571	1680	1257
572	1684	1255
573	1687	1252
574	1689	1249
575	1693	1246
576	1696	1243
577	1699	1240
578	1701	1237
579	1705	1234
580	1708	1231
581	1711	1229
582	1714	1225
583	1717	1223
584	1720	1220
585	1723	1217
586	1725	1214
587	1728	1210
588	1731	1208
589	1734	1205
590	1738	1202
591	1740	1199
592	1744	1196
593	1746	1193
594	1749	1191
595	1752	1187
596	1756	1185
597	1759	1182
598	1762	1179
599	1765	1176
600	1768	1173
601	1770	1170
602	1773	1167
603	1776	1164
604	1779	1161
605	1782	1159
606	1784	1155
607	1787	1152
608	1789	1149
609	1793	1146
610	1796	1143
611	1798	1140
612	1802	1137
613	1804	1134
614	1808	1131
615	1810	1128
616	1813	1125
617	1815	1122
618	1818	1119
619	1821	1116
620	1823	1112
621	1826	1110
622	1829	1106
623	1832	1103
624	1834	1100
625	1836	1097
626	1839	1094
627	1841	1090
628	1844	1087
629	1846	1084
630	1849	1081
631	1852	1078
632	1854	1075
633	1857	1072
634	1860	1069
635	1864	1066
636	1867	1063
637	1869	1060
638	1872	1057
639	1875	1054
640	1878	1051
641	1880	1048
642	1883	1045
643	1886	1042
644	1889	1039
645	1891	1036
646	1894	1033
647	1896	1030
648	1899	1027
649	1901	1024
650	1905	1021
651	1908	1018
652	1910	1015
653	1913	1012
654	1917	1009
655	1920	1007
656	1922	1003
657	1925	1000
658	1927	997
659	1929	994
660	1932	991
661	1934	987
662	1936	984
